ID,Lambda,rho,Target,Background
002,765.2,52.5,Touffue,NA
002,766.6,64,Touffue,NA
002,768.1,72,Touffue,NA
002,769.5,50,Touffue,NA
002,771,50,Touffue,NA
002,772.4,43.33,Touffue,NA
002,773.9,33.33,Touffue,NA
002,775.3,48,Touffue,NA
002,776.8,48,Touffue,NA
002,778.2,44,Touffue,NA
002,779.6,30,Touffue,NA
002,781.1,24,Touffue,NA
002,782.5,32,Touffue,NA
002,784,35,Touffue,NA
002,785.4,20,Touffue,NA
002,786.8,20,Touffue,NA
002,788.3,16.67,Touffue,NA
002,789.7,13.33,Touffue,NA
002,791.1,45,Touffue,NA
002,792.5,46.67,Touffue,NA
002,794,20,Touffue,NA
002,795.4,30,Touffue,NA
002,796.8,40,Touffue,NA
002,798.3,40,Touffue,NA
002,799.7,40,Touffue,NA
002,801.1,30,Touffue,NA
002,802.5,25,Touffue,NA
002,804,26.67,Touffue,NA
002,805.4,46.67,Touffue,NA
002,806.8,25,Touffue,NA
002,808.2,25,Touffue,NA
002,809.6,15,Touffue,NA
002,811.1,15,Touffue,NA
002,812.5,25,Touffue,NA
002,813.9,50,Touffue,NA
002,815.3,15,Touffue,NA
002,816.7,20,Touffue,NA
002,818.1,20,Touffue,NA
002,819.5,10,Touffue,NA
002,821,50,Touffue,NA
002,822.4,30,Touffue,NA
