class,wavelength,r_rs_b_mean,r_rs_b_sd
alaria,421.4,0.0025342645201858554,0.001284258867402789
alaria,423,0.002396209585167404,0.0011561447398207175
alaria,424.6,0.0024132881174753823,0.0012770535386518176
alaria,426.2,0.0023887942126891706,0.001169334754778191
alaria,427.8,0.0023806611757031092,0.0010804584802635998
alaria,429.4,0.0023241062511452997,0.0010217943130568425
alaria,431,0.0022189765911835918,0.001003544049352187
alaria,432.6,0.0021465314177332127,0.001088553337787711
alaria,434.2,0.0021428389268741484,0.0010948993162113025
alaria,435.8,0.0021345132915377776,0.0011234637223574786
alaria,437.4,0.002100651914313202,0.001039376543846519
alaria,439,0.0021069577923254553,0.0010689027462026037
alaria,440.6,0.002105988548046532,0.0010602787774530108
